ID;Provincia;Nombre_y_Apellido;Domicilio;Telefono;Edad;Localidad;X;Y;Fecha_Alta;Usuario_Alta;Fecha_Ultima_Modificacion;Usuario_Ultima_Modificacion;Marca_Baja;col10
3418;Buenos Aires;MARIA ELENA RODRIGUEZ;AV. CORRIENTES 1234;11-1234-5678;28;CAPITAL FEDERAL;-58,3816;-34,6037;2025-09-06;admin;2025-09-06;admin;0;
3419;Córdoba;CARLOS ALBERTO MARTINEZ;SAN MARTIN 567;351-987-6543;35;CORDOBA;-64,1910;-31,4201;2025-09-06;admin;2025-09-06;admin;0;
3420;Santa Fe;ANA LUCIA FERNANDEZ;MITRE 890;342-555-1234;42;ROSARIO;-60,6393;-32,9442;2025-09-06;admin;2025-09-06;admin;0;
3421;Buenos Aires;PEDRO JOSE LOPEZ;RIVADAVIA 2345;11-9876-5432;31;LA PLATA;-57,9545;-34,9214;2025-09-06;admin;2025-09-06;admin;0;
3422;Mendoza;SOFIA BEATRIZ GONZALEZ;LAS HERAS 678;261-444-7890;26;MENDOZA;-68,8272;-32,8908;2025-09-06;admin;2025-09-06;admin;0;
3423;Buenos Aires;MIGUEL ANGEL TORRES;BELGRANO 3456;11-5555-1111;39;SAN ISIDRO;-58,5167;-34,4732;2025-09-06;admin;2025-09-06;admin;0;
3424;Tucumán;VALENTINA SOLEDAD RAMIREZ;INDEPENDENCIA 789;381-333-2222;24;SAN MIGUEL DE TUCUMAN;-65,2226;-26,8083;2025-09-06;admin;2025-09-06;admin;0;
3425;Buenos Aires;DIEGO SEBASTIAN MORALES;MITRE 1234;11-2222-3333;33;MORON;-58,6196;-34,6504;2025-09-06;admin;2025-09-06;admin;0;
3426;Salta;CAMILA ALEJANDRA HERRERA;CASEROS 567;387-777-8888;29;SALTA;-65,4097;-24,7821;2025-09-06;admin;2025-09-06;admin;0;
3427;Buenos Aires;FACUNDO NICOLAS CASTRO;SARMIENTO 890;11-4444-5555;27;LANUS;-58,3915;-34,7025;2025-09-06;admin;2025-09-06;admin;0;
3428;Córdoba;AGUSTINA MARIA VARGAS;COLON 2345;351-666-7777;30;VILLA CARLOS PAZ;-64,5167;-31,4242;2025-09-06;admin;2025-09-06;admin;0;
3429;Buenos Aires;MATIAS EMANUEL RUIZ;URQUIZA 678;11-7777-8888;36;AVELLANEDA;-58,3683;-34,6616;2025-09-06;admin;2025-09-06;admin;0;
3430;Santa Fe;FLORENCIA BELEN JIMENEZ;PELLEGRINI 3456;342-888-9999;25;SANTA FE;-60,7000;-31,6333;2025-09-06;admin;2025-09-06;admin;0;
3431;Buenos Aires;LEONARDO MARTIN SILVA;ALVEAR 789;11-8888-9999;32;SAN MARTIN;-58,5444;-34,5778;2025-09-06;admin;2025-09-06;admin;0;
3432;Mendoza;JULIETA CAROLINA MENDEZ;GODOY CRUZ 1234;261-999-0000;28;GODOY CRUZ;-68,8333;-32,9167;2025-09-06;admin;2025-09-06;admin;0;
3433;Buenos Aires;TOMAS ALEJANDRO FLORES;CORONEL DIAZ 567;11-9999-0000;34;VILLA CRESPO;-58,4333;-34,6000;2025-09-06;admin;2025-09-06;admin;0;
3434;Córdoba;ANTONELLA SOL GUTIERREZ;DUARTE QUIROS 890;351-000-1111;23;CORDOBA;-64,1910;-31,4201;2025-09-06;admin;2025-09-06;admin;0;
3435;Buenos Aires;SEBASTIAN AUGUSTO NAVARRO;CORDOBA 2345;11-0000-1111;37;CABA;-58,3816;-34,6037;2025-09-06;admin;2025-09-06;admin;0;
3436;Santa Fe;ISABELLA VALENTINA ROMERO;SAN LUIS 678;342-111-2222;26;ROSARIO;-60,6393;-32,9442;2025-09-06;admin;2025-09-06;admin;0;
3437;Buenos Aires;MAXIMO BENJAMIN AGUILAR;JUNIN 3456;11-1111-2222;31;SAN TELMO;-58,3731;-34,6208;2025-09-06;admin;2025-09-06;admin;0;
3438;Tucumán;MARTINA LUZ PEREZ;25 DE MAYO 789;381-222-3333;29;SAN MIGUEL DE TUCUMAN;-65,2226;-26,8083;2025-09-06;admin;2025-09-06;admin;0;
